TITLE: Bill of Materials
BOM NO: 05-065434-01-b.csv
DATE: 08/05/2021
DESIGN: 02_065434b_top
TEMPLATE: Z:\allegro\v174_site\cdssetup\template.bom
CALLOUT: 

ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
1,1,08_065434b,PCB,?,?,?,?,?,?,Analog Devices Supplied,08_065434b,N/A,?,?,?,?,?,?,?
2,1,E017419,IC-ADI 1.8V LOW PWR CMOS RAIL-TO-RAIL IN/OUT OPAMP," AD8515ARTZ",SOT23-5L,N/A,N/A,?,A1,ANALOG DEVICES," AD8515ARTZ-REEL",REL,N/A,N/A,N/A,N/A,1002631,?,?
3,1,E023048,CAP CER 10uF 16V 10% X5R 0603," 10uF",C0603,10,16V,N/A,C1,MURATA," GRM188R61C106KAALD",REL,N/A,N/A,N/A,N/A,N/A,?,?
4,2,E011865,CAP CER 0.1uF 50V 10% X7R 0603," 0.1uF",C0603,10,50V,N/A,"C2,C3",AVX," 06035C104KAT2A",REL,A004-0012-032,N/A,N/A,1285_CAB3,N/A,?,?
6,1,E027457,"LED EXCELED LAMP TRADE CHIP, 560NM, 0.020A, GREEN"," SML-D12P8WT86",LED0603_A,N/A,2.2V,N/A,DS1,ROHM," SML-D12P8WT86",REL,N/A,N/A,N/A,N/A,N/A,?,?
8,1,E054517,"CONN-PCB UNSHROUDED HDR MALE RA, 6POS  2.54MM PITCH, 7.37MM SOLDER TAIL, 5.84 POST HEIGHT"," TSW-106-09-T-S-RA",CNTHMHDRRA1X6L600W100H124,N/A,N/A,N/A,P2,SAMTEC INC.," TSW-106-09-T-S-RA",REL,N/A,N/A,N/A,N/A,N/A,?,?
9,1,E010279,RES SMD 100K Ohm 1% 1/10W 0603 AEC-Q200," 100K",R0603,1,50V,1/10W,R1,PANASONIC," ERJ-3EKF1003V",REL,A003-0032-128,41816DG576,N/A,N/A,N/A,?,?
10,2,E003671,RES SMD 10K Ohm 1% 1/10W 0603 AEC-Q200," 10K",R0603,1,N/A,1/10W,"R14,R15",PANASONIC," ERJ-3EKF1002V",REL,A003-0032-006,N/A,FEC 911-355,1517_CAB3,7000401,?,?
11,1,E020915,RES SMD 118K Ohm 1% 1/10W 0603 AEC-Q200," 118K",R0603,1,N/A,1/10W,R2,PANASONIC," ERJ-3EKF1183V",REL,N/A,N/A,N/A,N/A,N/A,?,?
12,1,E003678,RES SMD 1K Ohm 1% 1/10W 0603 AEC-Q200," 1K",R0603,1,N/A,1/10W,R3,PANASONIC," ERJ-3EKF1001V",REL,A003-0032-013,41816DG207,FEC 911-239,N/A,7001194,?,?
13,1,E013073,IC-ADI 24BIT CAP TO DIG CONV," AD7746ARUZ",TSSOP16,N/A,2.7V TO 5.25V,?,U1,ADI," AD7746ARUZ",REL,N/A,N/A,N/A,N/A,1002163,?,?


The following components are part of the PCB or are NOT to be installed
ITEM#,Qty,WW_PN,DESCRIPTION," VALUE",JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG," MFG_PN",HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
 5,1,E012879,DIO TVS ESD PROTECTION," ESD9L5.0ST5G",SOD923,N/A,5V,150mW,D1,ON SEMICONDUCTOR," ESD9L5.0ST5G",REL,N/A,N/A,N/A,N/A,7003896,?,DNI
 7,2,E033652,"CONN-PCB 8POS HDR MALE ST, 2.54MM PITCH, 8.08MM POST HEIGHT, 3.05MM SOLDER TAIL"," PREC008SFAN-RC",CNTHMHDR1X8L800W100H432,N/A,N/A,N/A,"P8,P13",SULLINS," PREC008SFAN-RC",REL,N/A,N/A,N/A,N/A,N/A,?,DNI

